"citric acid","chlorides","pH","alcohol","quality"
0.56,0.075,3.16,9.8,6
0,0.065,3.39,10,7
0.02,0.073,3.36,9.5,7
0.56,0.092,3.3,10.5,7
0.51,0.341,3.04,9.2,6
0.48,0.077,3.39,9.4,6
0.14,0.085,3.43,9.7,6
0,0.082,3.38,9.8,6
0,0.105,3.46,10.6,6
0.12,0.073,3.45,9.4,6
0,0.086,3.4,9.6,6
0.14,0.086,3.42,10.8,6
0.28,0.066,3.23,9.7,7
0.2,0.332,3.21,10.5,6
0.04,0.069,3.4,9.4,6
0.04,0.068,3.39,9.4,6
0.15,0.11,3.17,10.2,6
0.31,0.074,3.41,9.4,6
0.16,0.085,3.38,9.5,7
0.05,0.074,3.34,10.5,6
0.08,0.076,3.32,9.5,6
0,0.104,3.52,10.7,6
0.48,0.069,3.44,10.3,6
0.28,0.11,2.93,9.9,6
0.28,0.11,2.93,9.9,6
0.17,0.058,3.85,12.9,6
0.18,0.08,3.3,9,6
0.3,0.084,3.4,10.2,6
0.3,0.075,3.31,10.4,6
0.18,0.08,3.3,9,6
0.53,0.091,3.37,9.6,6
0.44,0.08,3.32,9.7,6
0.31,0.09,3.07,10.5,6
0.28,0.077,3.39,10,6
0.12,0.082,3.37,9.4,6
0.04,0.119,3.21,10.9,6
0.08,0.097,3.34,9.2,6
0.04,0.119,3.21,10.9,6
0.16,0.065,3.42,10.5,7
0.01,0.06,3.4,9.8,6
0.05,0.084,3.22,9.9,6
0,0.05,3.68,14,6
0,0.05,3.68,14,6
0.1,0.074,3.42,10.2,6
0.44,0.089,3.53,10.5,6
0.47,0.077,3.33,10.3,6
0.18,0.079,3.59,9.3,6
0.04,0.076,3.33,10,6
0.07,0.089,3.47,10.4,6
0.17,0.073,3.29,9.2,6
0.17,0.073,3.29,9.2,6
0.05,0.068,3.42,11.5,6
0.42,0.087,3.58,10.5,6
0.21,0.079,3.52,9.3,6
0.25,0.074,3.57,9.8,6
0.6,0.067,3.11,10.1,6
0.08,0.046,3.57,13,7
0.47,0.056,3.22,10.3,7
0.36,0.089,3.34,9.2,6
0.74,0.095,3.2,10.8,7
0.74,0.095,3.2,10.8,7
0.58,0.054,3.31,10.5,7
0.6,0.039,3.3,12.4,6
0.24,0.083,3.35,10,6
0.64,0.059,3.21,10.2,6
0.08,0.092,3.24,9.8,6
0.37,0.082,3.34,9.4,6
0.25,0.083,3.28,10,6
0.25,0.073,3.37,10.5,6
0.5,0.337,3.04,9.5,6
0.25,0.073,3.37,10.5,6
0.04,0.054,3.54,12.2,7
