"citric acid","chlorides","pH","alcohol","quality"
0.26,0.063,3.27,9.8,4
0.46,0.038,2.89,10.1,4
0,0.065,3.63,9.7,4
0.14,0.058,3.38,9,4
0.37,0.037,3.03,11.4,4
0.47,0.044,3.03,12.6,4
0.07,0.06,3.11,8.7,4
0.28,0.047,3.09,8.9,4
0.35,0.053,3.28,10.2,4
0.88,0.049,2.99,9.9,4
0.08,0.062,3.37,8.9,4
0.28,0.053,3.72,10,4
0.21,0.074,3.02,9.8,3
0.44,0.029,3.53,11.7,3
0.38,0.037,3.28,11.4,4
0.34,0.044,3.05,10.6,4
0.37,0.047,3.08,10.5,4
0.38,0.066,3.23,8.5,3
0.09,0.108,3.07,9.2,4
0.32,0.038,3.24,11.5,3
0.62,0.041,3.08,8.6,4
0.62,0.041,3.08,8.6,4
0.46,0.04,3.04,12.5,4
0.31,0.04,3.46,11.4,4
0.12,0.096,3.32,9.1,4
0.25,0.054,3.25,9,4
0.72,0.061,3.09,9.5,4
0.16,0.038,3.15,10,4
0.1,0.094,3.4,9.2,4
0.3,0.29,3.08,9,4
0.34,0.043,3.31,10.1,4
0.18,0.042,3.22,10.1,4
0.4,0.022,3.31,12.6,3
0,0.042,3.37,11.2,4
0.4,0.037,3.05,11.5,4
0.47,0.037,2.89,9.6,3
0.42,0.047,3.06,11.1,4
0.45,0.048,3.08,10.3,4
0.37,0.054,3.32,9.8,4
0.26,0.05,3.24,9.5,4
0.25,0.048,3.36,9.5,4
0.44,0.046,3.14,10.2,4
0.18,0.046,3.38,10.1,4
0.17,0.04,3.09,9.5,4
0.44,0.05,3.19,9.3,4
0.46,0.244,2.87,9.1,3
0.3,0.047,3.22,10.8,4
0.32,0.043,3.24,10.7,4
0.55,0.05,3.12,10.3,4
0.2,0.077,3.3,8.7,4
0.4,0.054,3.04,9.3,4
0.17,0.047,3.26,10,4
0,0.042,3.31,9.4,4
0.3,0.037,3.47,9,4
0.36,0.034,3.42,10.5,4
0.42,0.033,3.2,12.4,3
0.72,0.042,2.92,9.4,4
0.22,0.03,3,11.6,4
0.22,0.031,3,11.6,4
0.39,0.042,2.96,10.4,4
0.16,0.051,3.22,9.5,4
0.24,0.069,3.15,10.2,4
0.35,0.057,3.04,11,3
0.49,0.042,3.1,10.1,4
0.74,0.056,3.06,10,4
0.24,0.048,3,10.1,4
0.24,0.057,2.99,9.5,4
0.24,0.057,2.99,9.5,4
0.24,0.053,3.14,9.1,3
0.24,0.029,3.16,9.1,4
0.49,0.045,3.27,9,4
0.49,0.036,2.96,10.5,4
