GO id	term
GO:0016324	C:apical plasma membrane
GO:0016323	C:basolateral plasma membrane
GO:0009986	C:cell surface
GO:0030665	C:clathrin-coated vesicle membrane
GO:0005737	C:cytoplasm
GO:0031901	C:early endosome membrane
GO:0030139	C:endocytic vesicle
GO:0005789	C:endoplasmic reticulum membrane
GO:0005768	C:endosome
GO:0010008	C:endosome membrane
GO:0005615	C:extracellular space
GO:0005925	C:focal adhesion
GO:0000139	C:Golgi membrane
GO:0016021	C:integral component of membrane
GO:0016020	C:membrane
GO:0045121	C:membrane raft
GO:0097489	C:multivesicular body, internal vesicle lumen
GO:0031965	C:nuclear membrane
GO:0005634	C:nucleus
GO:0048471	C:perinuclear region of cytoplasm
GO:0005886	C:plasma membrane
GO:0032991	C:protein-containing complex
GO:0043235	C:receptor complex
GO:0070435	C:Shc-EGFR complex
GO:0045202	C:synapse
GO:0051015	F:actin filament binding
GO:0005524	F:ATP binding
GO:0045296	F:cadherin binding
GO:0005516	F:calmodulin binding
GO:0003682	F:chromatin binding
GO:0003690	F:double-stranded DNA binding
GO:0019899	F:enzyme binding
GO:0048408	F:epidermal growth factor binding
GO:0005006	F:epidermal growth factor-activated receptor activity
GO:0042802	F:identical protein binding
GO:0005178	F:integrin binding
GO:0004709	F:MAP kinase kinase kinase activity
GO:0046934	F:phosphatidylinositol-4,5-bisphosphate 3-kinase activity
GO:0046982	F:protein heterodimerization activity
GO:0019901	F:protein kinase binding
GO:0019903	F:protein phosphatase binding
GO:0004713	F:protein tyrosine kinase activity
GO:0005088	F:Ras guanyl-nucleotide exchange factor activity
GO:0004714	F:transmembrane receptor protein tyrosine kinase activity
GO:0004888	F:transmembrane signaling receptor activity
GO:0031625	F:ubiquitin protein ligase binding
GO:0001618	F:virus receptor activity
GO:0043006	P:activation of phospholipase A2 activity by calcium-mediated signaling
GO:0007202	P:activation of phospholipase C activity
GO:0048143	P:astrocyte activation
GO:0008283	P:cell proliferation
GO:0007166	P:cell surface receptor signaling pathway
GO:0098609	P:cell-cell adhesion
GO:0071230	P:cellular response to amino acid stimulus
GO:0071276	P:cellular response to cadmium ion
GO:0071549	P:cellular response to dexamethasone stimulus
GO:0071364	P:cellular response to epidermal growth factor stimulus
GO:0071392	P:cellular response to estradiol stimulus
GO:0071260	P:cellular response to mechanical stimulus
GO:0034614	P:cellular response to reactive oxygen species
GO:0021795	P:cerebral cortex cell migration
GO:0007623	P:circadian rhythm
GO:0048546	P:digestive tract morphogenesis
GO:0016101	P:diterpenoid metabolic process
GO:0001892	P:embryonic placenta development
GO:0007173	P:epidermal growth factor receptor signaling pathway
GO:0038128	P:ERBB2 signaling pathway
GO:0061029	P:eyelid development in camera-type eye
GO:0001942	P:hair follicle development
GO:0042743	P:hydrogen peroxide metabolic process
GO:0007611	P:learning or memory
GO:0097421	P:liver regeneration
GO:0030324	P:lung development
GO:0010960	P:magnesium ion homeostasis
GO:0000165	P:MAPK cascade
GO:0061024	P:membrane organization
GO:0007494	P:midgut development
GO:0060571	P:morphogenesis of an epithelial fold
GO:0043066	P:negative regulation of apoptotic process
GO:1905208	P:negative regulation of cardiocyte differentiation
GO:0042059	P:negative regulation of epidermal growth factor receptor signaling pathway
GO:1901185	P:negative regulation of ERBB signaling pathway
GO:0045930	P:negative regulation of mitotic cell cycle
GO:0045746	P:negative regulation of Notch signaling pathway
GO:0042177	P:negative regulation of protein catabolic process
GO:0048812	P:neuron projection morphogenesis
GO:0001503	P:ossification
GO:0042698	P:ovulation cycle
GO:0038083	P:peptidyl-tyrosine autophosphorylation
GO:0018108	P:peptidyl-tyrosine phosphorylation
GO:0097755	P:positive regulation of blood vessel diameter
GO:0045780	P:positive regulation of bone resorption
GO:0090263	P:positive regulation of canonical Wnt signaling pathway
GO:0030307	P:positive regulation of cell growth
GO:0030335	P:positive regulation of cell migration
GO:0008284	P:positive regulation of cell proliferation
GO:0031659	P:positive regulation of cyclin-dependent protein serine/threonine kinase activity involved in G1/S transition of mitotic cell cycle
GO:0045739	P:positive regulation of DNA repair
GO:0045740	P:positive regulation of DNA replication
GO:0050679	P:positive regulation of epithelial cell proliferation
GO:0070374	P:positive regulation of ERK1 and ERK2 cascade
GO:0048146	P:positive regulation of fibroblast proliferation
GO:0050729	P:positive regulation of inflammatory response
GO:0043406	P:positive regulation of MAP kinase activity
GO:1901224	P:positive regulation of NIK/NF-kappaB signaling
GO:0010750	P:positive regulation of nitric oxide mediated signal transduction
GO:0033138	P:positive regulation of peptidyl-serine phosphorylation
GO:0042327	P:positive regulation of phosphorylation
GO:1903800	P:positive regulation of production of miRNAs involved in gene silencing by miRNA
GO:1902722	P:positive regulation of prolactin secretion
GO:0051897	P:positive regulation of protein kinase B signaling
GO:1900020	P:positive regulation of protein kinase C activity
GO:1903078	P:positive regulation of protein localization to plasma membrane
GO:0001934	P:positive regulation of protein phosphorylation
GO:0048661	P:positive regulation of smooth muscle cell proliferation
GO:0032930	P:positive regulation of superoxide anion generation
GO:0051968	P:positive regulation of synaptic transmission, glutamatergic
GO:0045944	P:positive regulation of transcription by RNA polymerase II
GO:0045893	P:positive regulation of transcription, DNA-templated
GO:0045907	P:positive regulation of vasoconstriction
GO:0046777	P:protein autophosphorylation
GO:0051205	P:protein insertion into membrane
GO:2000145	P:regulation of cell motility
GO:0070372	P:regulation of ERK1 and ERK2 cascade
GO:0046328	P:regulation of JNK cascade
GO:0050999	P:regulation of nitric-oxide synthase activity
GO:0050730	P:regulation of peptidyl-tyrosine phosphorylation
GO:0014066	P:regulation of phosphatidylinositol 3-kinase signaling
GO:0006357	P:regulation of transcription by RNA polymerase II
GO:0051592	P:response to calcium ion
GO:0033590	P:response to cobalamin
GO:0033594	P:response to hydroxyisoflavone
GO:0006970	P:response to osmotic stress
GO:0070141	P:response to UV-A
GO:0007435	P:salivary gland morphogenesis
GO:0007165	P:signal transduction
GO:0043586	P:tongue development
GO:0006412	P:translation
GO:0042060	P:wound healing
