GO id	term
GO:0016324	C:apical plasma membrane
GO:0016323	C:basolateral plasma membrane
GO:0005615	C:extracellular space
GO:0005887	C:integral component of plasma membrane
GO:0005622	C:intracellular
GO:0016328	C:lateral plasma membrane
GO:0005886	C:plasma membrane
GO:0043235	C:receptor complex
GO:0005524	F:ATP binding
GO:0019838	F:growth factor binding
GO:0042802	F:identical protein binding
GO:0038132	F:neuregulin binding
GO:0046934	F:phosphatidylinositol-4,5-bisphosphate 3-kinase activity
GO:0046982	F:protein heterodimerization activity
GO:0042803	F:protein homodimerization activity
GO:0030296	F:protein tyrosine kinase activator activity
GO:0004713	F:protein tyrosine kinase activity
GO:0005088	F:Ras guanyl-nucleotide exchange factor activity
GO:0004888	F:transmembrane signaling receptor activity
GO:0031625	F:ubiquitin protein ligase binding
GO:0021545	P:cranial nerve development
GO:0003197	P:endocardial cushion development
GO:0038128	P:ERBB2 signaling pathway
GO:0097192	P:extrinsic apoptotic signaling pathway in absence of ligand
GO:0007507	P:heart development
GO:0000165	P:MAPK cascade
GO:0007162	P:negative regulation of cell adhesion
GO:0043524	P:negative regulation of neuron apoptotic process
GO:0051048	P:negative regulation of secretion
GO:0009968	P:negative regulation of signal transduction
GO:0051402	P:neuron apoptotic process
GO:0007422	P:peripheral nervous system development
GO:0014065	P:phosphatidylinositol 3-kinase signaling
GO:0070886	P:positive regulation of calcineurin-NFAT signaling cascade
GO:0055025	P:positive regulation of cardiac muscle tissue development
GO:0010628	P:positive regulation of gene expression
GO:0014068	P:positive regulation of phosphatidylinositol 3-kinase signaling
GO:0051897	P:positive regulation of protein kinase B signaling
GO:0061098	P:positive regulation of protein tyrosine kinase activity
GO:2000145	P:regulation of cell motility
GO:0042127	P:regulation of cell proliferation
GO:0014037	P:Schwann cell differentiation
GO:0007165	P:signal transduction
GO:0007169	P:transmembrane receptor protein tyrosine kinase signaling pathway
GO:0042060	P:wound healing
