GO id	term
GO:0016323	C:basolateral plasma membrane
GO:0005829	C:cytosol
GO:0005576	C:extracellular region
GO:0098982	C:GABA-ergic synapse
GO:0098978	C:glutamatergic synapse
GO:0099061	C:integral component of postsynaptic density membrane
GO:0099056	C:integral component of presynaptic membrane
GO:0005759	C:mitochondrial matrix
GO:0005739	C:mitochondrion
GO:0005654	C:nucleoplasm
GO:0005634	C:nucleus
GO:0005886	C:plasma membrane
GO:0045211	C:postsynaptic membrane
GO:0043235	C:receptor complex
GO:0005524	F:ATP binding
GO:0005154	F:epidermal growth factor receptor binding
GO:0046934	F:phosphatidylinositol-4,5-bisphosphate 3-kinase activity
GO:0042803	F:protein homodimerization activity
GO:0004713	F:protein tyrosine kinase activity
GO:0005088	F:Ras guanyl-nucleotide exchange factor activity
GO:0044212	F:transcription regulatory region DNA binding
GO:0004714	F:transmembrane receptor protein tyrosine kinase activity
GO:0061026	P:cardiac muscle tissue regeneration
GO:0045165	P:cell fate commitment
GO:0016477	P:cell migration
GO:0008283	P:cell proliferation
GO:0071364	P:cellular response to epidermal growth factor stimulus
GO:0021551	P:central nervous system morphogenesis
GO:0009880	P:embryonic pattern specification
GO:0038128	P:ERBB2 signaling pathway
GO:0007507	P:heart development
GO:0007595	P:lactation
GO:0060749	P:mammary gland alveolus development
GO:0060644	P:mammary gland epithelial cell differentiation
GO:0000165	P:MAPK cascade
GO:0043653	P:mitochondrial fragmentation involved in apoptotic process
GO:0043066	P:negative regulation of apoptotic process
GO:0008285	P:negative regulation of cell proliferation
GO:2001223	P:negative regulation of neuron migration
GO:0007399	P:nervous system development
GO:0001755	P:neural crest cell migration
GO:0021889	P:olfactory bulb interneuron differentiation
GO:0038083	P:peptidyl-tyrosine autophosphorylation
GO:0018108	P:peptidyl-tyrosine phosphorylation
GO:0043065	P:positive regulation of apoptotic process
GO:0060045	P:positive regulation of cardiac muscle cell proliferation
GO:0008284	P:positive regulation of cell proliferation
GO:0070374	P:positive regulation of ERK1 and ERK2 cascade
GO:0046427	P:positive regulation of JAK-STAT cascade
GO:0043552	P:positive regulation of phosphatidylinositol 3-kinase activity
GO:0014068	P:positive regulation of phosphatidylinositol 3-kinase signaling
GO:0051897	P:positive regulation of protein kinase B signaling
GO:2000010	P:positive regulation of protein localization to cell surface
GO:0001934	P:positive regulation of protein phosphorylation
GO:0045893	P:positive regulation of transcription, DNA-templated
GO:0042531	P:positive regulation of tyrosine phosphorylation of STAT protein
GO:0046777	P:protein autophosphorylation
GO:0030334	P:regulation of cell migration
GO:2000145	P:regulation of cell motility
GO:0007165	P:signal transduction
GO:0007416	P:synapse assembly
GO:0006351	P:transcription, DNA-templated
GO:0007169	P:transmembrane receptor protein tyrosine kinase signaling pathway
