GO ID	GO term	Protein Names
GO:0031625	F:ubiquitin protein ligase binding	Receptor tyrosine-protein kinase erbB-3,Epidermal growth factor receptor
GO:0010008	C:endosome membrane	Receptor tyrosine-protein kinase erbB-2,Epidermal growth factor receptor
GO:0007166	P:cell surface receptor signaling pathway	Receptor tyrosine-protein kinase erbB-2,Epidermal growth factor receptor
GO:0042060	P:wound healing	Receptor tyrosine-protein kinase erbB-2,Receptor tyrosine-protein kinase erbB-3,Epidermal growth factor receptor
GO:0042803	F:protein homodimerization activity	Receptor tyrosine-protein kinase erbB-4,Receptor tyrosine-protein kinase erbB-3
GO:0004888	F:transmembrane signaling receptor activity	Receptor tyrosine-protein kinase erbB-2,Receptor tyrosine-protein kinase erbB-3,Epidermal growth factor receptor
GO:0043406	P:positive regulation of MAP kinase activity	Receptor tyrosine-protein kinase erbB-2,Epidermal growth factor receptor
GO:0045893	P:positive regulation of transcription, DNA-templated	Receptor tyrosine-protein kinase erbB-4,Epidermal growth factor receptor
GO:0014065	P:phosphatidylinositol 3-kinase signaling	Receptor tyrosine-protein kinase erbB-2,Receptor tyrosine-protein kinase erbB-3
GO:2000145	P:regulation of cell motility	Receptor tyrosine-protein kinase erbB-2,Receptor tyrosine-protein kinase erbB-4,Receptor tyrosine-protein kinase erbB-3,Epidermal growth factor receptor
GO:0048471	C:perinuclear region of cytoplasm	Receptor tyrosine-protein kinase erbB-2,Epidermal growth factor receptor
GO:0006357	P:regulation of transcription by RNA polymerase II	Receptor tyrosine-protein kinase erbB-2,Epidermal growth factor receptor
GO:0016021	C:integral component of membrane	Receptor tyrosine-protein kinase erbB-2,Epidermal growth factor receptor
GO:0004713	F:protein tyrosine kinase activity	Receptor tyrosine-protein kinase erbB-2,Receptor tyrosine-protein kinase erbB-4,Receptor tyrosine-protein kinase erbB-3,Epidermal growth factor receptor
GO:1901185	P:negative regulation of ERBB signaling pathway	Receptor tyrosine-protein kinase erbB-2,Epidermal growth factor receptor
GO:0046934	F:phosphatidylinositol-4,5-bisphosphate 3-kinase activity	Receptor tyrosine-protein kinase erbB-2,Receptor tyrosine-protein kinase erbB-4,Receptor tyrosine-protein kinase erbB-3,Epidermal growth factor receptor
GO:0007165	P:signal transduction	Receptor tyrosine-protein kinase erbB-2,Receptor tyrosine-protein kinase erbB-4,Receptor tyrosine-protein kinase erbB-3,Epidermal growth factor receptor
GO:0070374	P:positive regulation of ERK1 and ERK2 cascade	Receptor tyrosine-protein kinase erbB-4,Epidermal growth factor receptor
GO:0005886	C:plasma membrane	Receptor tyrosine-protein kinase erbB-2,Receptor tyrosine-protein kinase erbB-4,Receptor tyrosine-protein kinase erbB-3,Epidermal growth factor receptor
GO:0070372	P:regulation of ERK1 and ERK2 cascade	Receptor tyrosine-protein kinase erbB-2,Epidermal growth factor receptor
GO:0005634	C:nucleus	Receptor tyrosine-protein kinase erbB-2,Receptor tyrosine-protein kinase erbB-4,Epidermal growth factor receptor
GO:0030307	P:positive regulation of cell growth	Receptor tyrosine-protein kinase erbB-2,Epidermal growth factor receptor
GO:0050679	P:positive regulation of epithelial cell proliferation	Receptor tyrosine-protein kinase erbB-2,Epidermal growth factor receptor
GO:0043066	P:negative regulation of apoptotic process	Receptor tyrosine-protein kinase erbB-4,Epidermal growth factor receptor
GO:0043235	C:receptor complex	Receptor tyrosine-protein kinase erbB-2,Receptor tyrosine-protein kinase erbB-4,Receptor tyrosine-protein kinase erbB-3,Epidermal growth factor receptor
GO:0008283	P:cell proliferation	Receptor tyrosine-protein kinase erbB-2,Receptor tyrosine-protein kinase erbB-4,Epidermal growth factor receptor
GO:0019903	F:protein phosphatase binding	Receptor tyrosine-protein kinase erbB-2,Epidermal growth factor receptor
GO:0051897	P:positive regulation of protein kinase B signaling	Receptor tyrosine-protein kinase erbB-2,Receptor tyrosine-protein kinase erbB-4,Receptor tyrosine-protein kinase erbB-3,Epidermal growth factor receptor
GO:0018108	P:peptidyl-tyrosine phosphorylation	Receptor tyrosine-protein kinase erbB-4,Epidermal growth factor receptor
GO:0016323	C:basolateral plasma membrane	Receptor tyrosine-protein kinase erbB-2,Receptor tyrosine-protein kinase erbB-4,Receptor tyrosine-protein kinase erbB-3,Epidermal growth factor receptor
GO:0016324	C:apical plasma membrane	Receptor tyrosine-protein kinase erbB-2,Receptor tyrosine-protein kinase erbB-3,Epidermal growth factor receptor
GO:0046982	F:protein heterodimerization activity	Receptor tyrosine-protein kinase erbB-2,Receptor tyrosine-protein kinase erbB-3,Epidermal growth factor receptor
GO:0004714	F:transmembrane receptor protein tyrosine kinase activity	Receptor tyrosine-protein kinase erbB-2,Receptor tyrosine-protein kinase erbB-4,Epidermal growth factor receptor
GO:0005829	C:cytosol	Receptor tyrosine-protein kinase erbB-2,Receptor tyrosine-protein kinase erbB-4
GO:0042802	F:identical protein binding	Receptor tyrosine-protein kinase erbB-2,Receptor tyrosine-protein kinase erbB-3,Epidermal growth factor receptor
GO:0007422	P:peripheral nervous system development	Receptor tyrosine-protein kinase erbB-2,Receptor tyrosine-protein kinase erbB-3
GO:0038083	P:peptidyl-tyrosine autophosphorylation	Receptor tyrosine-protein kinase erbB-4,Epidermal growth factor receptor
GO:0014068	P:positive regulation of phosphatidylinositol 3-kinase signaling	Receptor tyrosine-protein kinase erbB-4,Receptor tyrosine-protein kinase erbB-3
GO:0008284	P:positive regulation of cell proliferation	Receptor tyrosine-protein kinase erbB-4,Epidermal growth factor receptor
GO:0005524	F:ATP binding	Receptor tyrosine-protein kinase erbB-2,Receptor tyrosine-protein kinase erbB-4,Receptor tyrosine-protein kinase erbB-3,Epidermal growth factor receptor
GO:0006351	P:transcription, DNA-templated	Receptor tyrosine-protein kinase erbB-2,Receptor tyrosine-protein kinase erbB-4
GO:0005615	C:extracellular space	Receptor tyrosine-protein kinase erbB-3,Epidermal growth factor receptor
GO:0038128	P:ERBB2 signaling pathway	Receptor tyrosine-protein kinase erbB-2,Receptor tyrosine-protein kinase erbB-4,Receptor tyrosine-protein kinase erbB-3,Epidermal growth factor receptor
GO:0046777	P:protein autophosphorylation	Receptor tyrosine-protein kinase erbB-2,Receptor tyrosine-protein kinase erbB-4,Epidermal growth factor receptor
GO:0007169	P:transmembrane receptor protein tyrosine kinase signaling pathway	Receptor tyrosine-protein kinase erbB-2,Receptor tyrosine-protein kinase erbB-4,Receptor tyrosine-protein kinase erbB-3
GO:0071364	P:cellular response to epidermal growth factor stimulus	Receptor tyrosine-protein kinase erbB-2,Receptor tyrosine-protein kinase erbB-4,Epidermal growth factor receptor
GO:0000165	P:MAPK cascade	Receptor tyrosine-protein kinase erbB-2,Receptor tyrosine-protein kinase erbB-4,Receptor tyrosine-protein kinase erbB-3,Epidermal growth factor receptor
GO:0005088	F:Ras guanyl-nucleotide exchange factor activity	Receptor tyrosine-protein kinase erbB-2,Receptor tyrosine-protein kinase erbB-4,Receptor tyrosine-protein kinase erbB-3,Epidermal growth factor receptor
GO:0007507	P:heart development	Receptor tyrosine-protein kinase erbB-2,Receptor tyrosine-protein kinase erbB-4,Receptor tyrosine-protein kinase erbB-3
